// Made in NPC Maker by BowieD
GUID 4028569672a8448698dff012471525b8
Type Vendor
ID 6654
Buying 4
Buying_0_ID 12350
Buying_0_Cost 200
Buying_1_ID 12351
Buying_1_Cost 50
Buying_2_ID 12352
Buying_2_Cost 100
Buying_3_ID 12353
Buying_3_Cost 20
Selling 17
Selling_0_ID 395
Selling_0_Cost 50
Selling_1_ID 35351
Selling_1_Cost 250
Selling_2_ID 26338
Selling_2_Cost 3000
Selling_3_ID 17622
Selling_3_Cost 2500
Selling_4_ID 22742
Selling_4_Cost 250
Selling_5_ID 22741
Selling_5_Cost 150
Selling_6_ID 22740
Selling_6_Cost 100
Selling_7_ID 22743
Selling_7_Cost 350
Selling_8_ID 57912
Selling_8_Cost 9000
Selling_9_ID 35171
Selling_9_Cost 13000
Selling_10_ID 43354
Selling_10_Cost 20000
Selling_11_ID 9384
Selling_11_Cost 80
Selling_12_ID 31502
Selling_12_Cost 1200
Selling_13_ID 31503
Selling_13_Cost 3000
Selling_14_ID 31540
Selling_14_Cost 1000
Selling_15_ID 31541
Selling_15_Cost 1000
Selling_16_ID 35990
Selling_16_Cost 1500
Disable_Sorting
Currency 73890c1b403a490185403a6b2fda8c24
