GUID c35f569976034b9cb6bba66f210569fb
Type Spawn
ID 2366

Tables 48
Table_0_Asset_ID 15
Table_0_Weight 100
Table_1_Asset_ID 6034
Table_1_Weight 50
Table_2_Asset_ID 1241
Table_2_Weight 50
Table_3_Asset_ID 9629
Table_3_Weight 50
Table_4_Asset_ID 6042
Table_4_Weight 40
Table_5_Asset_ID 38506
Table_5_Weight 40
Table_6_Asset_ID 13260
Table_6_Weight 40
Table_7_Asset_ID 64322
Table_7_Weight 40
Table_8_Asset_ID 31140
Table_8_Weight 35
Table_9_Asset_ID 22501
Table_9_Weight 30
Table_10_Asset_ID 40351
Table_10_Weight 30
Table_11_Asset_ID 58615
Table_11_Weight 30
Table_12_Asset_ID 58614
Table_12_Weight 30
Table_13_Asset_ID 58616
Table_13_Weight 30
Table_14_Asset_ID 58618
Table_14_Weight 30
Table_15_Asset_ID 58620
Table_15_Weight 30
Table_16_Asset_ID 58619
Table_16_Weight 30
Table_17_Asset_ID 58617
Table_17_Weight 30
Table_18_Asset_ID 43426
Table_18_Weight 25
Table_19_Asset_ID 14500
Table_19_Weight 25
Table_20_Asset_ID 16223
Table_20_Weight 15
Table_21_Asset_ID 58197
Table_21_Weight 15
Table_22_Asset_ID 13320
Table_22_Weight 10
Table_23_Asset_ID 52201
Table_23_Weight 10
Table_24_Asset_ID 13315
Table_24_Weight 10
Table_25_Asset_ID 6710
Table_25_Weight 7
Table_26_Asset_ID 48509
Table_26_Weight 6
Table_27_Asset_ID 6044
Table_27_Weight 5
Table_28_Asset_ID 40353
Table_28_Weight 5
Table_29_Asset_ID 52015
Table_29_Weight 5
Table_30_Asset_ID 32593
Table_30_Weight 5
Table_31_Asset_ID 57027
Table_31_Weight 4
Table_32_Asset_ID 13507
Table_32_Weight 3
Table_33_Asset_ID 17713
Table_33_Weight 3
Table_34_Asset_ID 17710
Table_34_Weight 3
Table_35_Asset_ID 6680
Table_35_Weight 3
Table_36_Asset_ID 16218
Table_36_Weight 3
Table_37_Asset_ID 15757
Table_37_Weight 3
Table_38_Asset_ID 13052
Table_38_Weight 2
Table_39_Asset_ID 15192
Table_39_Weight 2
Table_40_Asset_ID 40350
Table_40_Weight 2
Table_41_Asset_ID 35874
Table_41_Weight 1
Table_42_Asset_ID 17000
Table_42_Weight 1
Table_43_Asset_ID 16999
Table_43_Weight 1
Table_44_Asset_ID 41452
Table_44_Weight 1
Table_45_Asset_ID 50117
Table_45_Weight 1
Table_46_Asset_ID 55525
Table_46_Weight 1
Table_47_Asset_ID 41453
Table_47_Weight 1
