GUID fdf1b1bd4f3143b6a03d637fd34add8b
Type Throwable
Rarity Mythical
Useable Throwable
ID 22140

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 250
Zombie_Damage 175
Animal_Damage 175
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 100
Resource_Damage 1000
Object_Damage 500

Range 10
Explosion 59318

Explosive

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 23651
Blueprint_0_Supply_0_Amount 30
Blueprint_0_Supply_1_ID 44490
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 32
