GUID a2c1fc2588fb4b23a297952f3de20ffb
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 45711

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.65

Magazine 31753

Ammo_Min 2
Ammo_Max 2

Semi

Caliber 15656

Range 5
Firerate 50
Action Trigger

Player_Damage 350
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 350
Zombie_Leg_Multiplier 1.3
Zombie_Arm_Multiplier 1.3
Zombie_Spine_Multiplier 1.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 1500
Resource_Damage 6000
Object_Damage 6000

Durability 1
Wear 3


Spread_Aim 0.01
Spread_Hip 0.01

Explosion 12738

Ballistic_Force 3250

Recoil_Aim 0.25
Recoil_Min_X -5
Recoil_Min_Y 5
Recoil_Max_X 5
Recoil_Max_Y 10

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Infinite_Ammo true

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 357
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Can_Aim_During_Sprint True

Asset_Bundle_Version 3

Projectile_Explosion_Launch_Speed 3
