GUID 1a42486e549f4148814e2b1b74fc92fc
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 42825

Size_X 1
Size_Y 2
Size_Z 0.55
Size2_Z 0.4

Range 1.7
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 10

Player_Damage 250
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.5

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 1
Resource_Damage 1
Object_Damage 1

Durability 0.175

