GUID c1f0ea06447e4b10a94ac88e0d38e61a
Type Spawn
ID 26299

Tables 26
Table_0_Asset_ID 56321
Table_0_Weight 150
Table_1_Asset_ID 34912
Table_1_Weight 200
Table_2_Asset_ID 16832
Table_2_Weight 30
Table_3_Asset_ID 43856
Table_3_Weight 100
Table_4_Asset_ID 23335
Table_4_Weight 115
Table_5_Asset_ID 17713
Table_5_Weight 100
Table_6_Asset_ID 50117
Table_6_Weight 30
Table_7_Asset_ID 7800
Table_7_Weight 80
Table_8_Asset_ID 33369
Table_8_Weight 50
Table_9_Asset_ID 50112
Table_9_Weight 15
Table_10_Asset_ID 32190
Table_10_Weight 35
Table_11_Asset_ID 61034
Table_11_Weight 10
Table_12_Asset_ID 27161
Table_12_Weight 65
Table_13_Asset_ID 7000
Table_13_Weight 45
Table_14_Asset_ID 55535
Table_14_Weight 140
Table_15_Asset_ID 17000
Table_15_Weight 40
Table_16_Asset_ID 55528
Table_16_Weight 50
Table_17_Asset_ID 50025
Table_17_Weight 25
Table_18_Asset_ID 35874
Table_18_Weight 85
Table_19_Asset_ID 16838
Table_19_Weight 20
Table_20_Asset_ID 55525
Table_20_Weight 50
Table_21_Asset_ID 38510
Table_21_Weight 70
Table_22_Asset_ID 32161
Table_22_Weight 105
Table_23_Asset_ID 16832
Table_23_Weight 100
Table_24_Asset_ID 35592
Table_24_Weight 80
Table_25_Asset_ID 16835
Table_25_Weight 50
