GUID f2445f0b6c8943619ab9f3b88e8a0861
Type Supply
Rarity Mythical
ID 59912

Size_X 6
Size_Y 4
Size_Z 1.6

Blueprints 2

Blueprint_0_Type Supply
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 46262
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 46263
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 46264
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 46265
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Build 17

Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59912
Blueprint_1_Outputs 4
Blueprint_1_Output_0_ID 46262
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 46263
Blueprint_1_Output_1_Amount 1
Blueprint_1_Output_2_ID 46264
Blueprint_1_Output_2_Amount 1
Blueprint_1_Output_3_ID 46265
Blueprint_1_Output_3_Amount 1
Blueprint_1_Build 17
